packerid,casingtubingid,packerdepth,packertype,createddate,updateddate,deleteddate,entl_region,entl_country,entl_state,entl_county,entl_offshorecode,region,country,stateprovince,county,field,basinname,district
1042313,9786639,5681.0,,2019-10-09 01:57:04.987,2019-10-09 01:57:04.987,,NAM,US,CO,MORGAN,,NAM,US,CO,MORGAN,ADENA,DENVER JULESBURG,
1042312,9786638,5784.0,,2019-10-09 01:57:04.987,2019-10-09 01:57:04.987,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
1042311,9786637,5585.0,,2019-10-09 01:57:04.987,2019-10-09 01:57:04.987,,NAM,US,CO,MORGAN,,NAM,US,CO,MORGAN,ADENA,DENVER JULESBURG,
1042310,9786627,6352.0,,2019-10-08 12:15:23.320,2019-10-08 12:15:23.320,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
1042309,9786626,5522.0,,2019-10-08 12:15:23.320,2019-10-08 12:15:23.320,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
1042307,9786550,4312.0,,2019-09-28 02:04:40.720,2019-09-28 02:04:40.720,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,JUSTICE,DENVER JULESBURG,
1042306,9786539,4918.0,,2019-09-27 01:48:09.103,2019-09-27 01:48:09.103,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,RAGO NORTH,DENVER JULESBURG,
1042305,9786496,7488.0,,2019-09-26 01:27:40.057,2019-09-26 01:27:40.057,,NAM,US,CO,GARFIELD,,NAM,US,CO,GARFIELD,MAMM CREEK,PICEANCE,
1041601,9758630,10290.0,,2019-08-09 04:01:22.127,2019-08-09 04:01:22.127,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
1042304,9786403,8039.0,,2019-09-20 02:14:10.227,2019-09-20 02:14:10.227,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
1042303,9786339,7312.0,,2019-09-19 04:16:25.127,2019-09-19 04:16:25.127,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
1042302,9786338,4440.0,,2019-09-19 04:16:25.127,2019-09-19 04:16:25.127,,NAM,US,CO,CHEYENNE,,NAM,US,CO,CHEYENNE,LOMA,LAS ANIMAS ARCH,
1042301,9786319,7704.0,,2019-09-19 04:16:25.127,2019-09-19 04:16:25.127,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
